ID,Problem,Symptoms,Remedies,Medicines,Source,Dosha Type,Body System,Chronic/Acute,Treatment Type,Contraindications,Preventive Advice,Seasonal Suitability,Gender/Age Relevance,Confidence,Classical Texts,Modern Evidence,Institutional Endorsements,WHO Strategy Reference,Authentication Notes,Auth_Score
7864,Venereal Diseases,irregular periods; pelvic pain; infertility; discharge,Gokshura decoction as urinary/reproductive supportive (use per guidance).,"Amalaki (Amla), Neem","Áyurveda Encyclopedia - Ch.14, p.488",Vata-Kapha,Reproductive,Chronic,Lifestyle,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),All,0.96,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.83
7865,Food Allergies & Parasites,runny nose; sneezing; sinus pressure; post-nasal drip,"Hot milk with turmeric (for non-children) at bedtime; sip warm fluids.; Use triphala in home preparations (e.g., triphala tea or paste) as supportive remedy.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.",Khadira,"Áyurveda Encyclopedia - Ch.15, p.420",Tridoshic,Respiratory,Acute,Herb; Pranayama,Avoid strenuous exercise during acute phase,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),Pregnancy caution,0.63,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.81
7866,Indigestion (Ajeerna) - variant 14,loss of appetite; bloating; belching; abdominal pain; altered bowel habits,"Fresh ginger and lemon water before meals; avoid cold/raw foods.; Use neem in home preparations (e.g., neem tea or paste) as supportive remedy.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.","Ashwagandha, Mustā, Kutki","Áyurveda Encyclopedia - Ch.23, p.480",Vata,Digestive,Chronic,Herb; Topical,Avoid oily foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),All,0.8,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.89
7867,Hemorrhoids (Arshas),papules and pustules; oily skin; scarring; burning sensation,"Gram flour (besan) and turmeric paste as a gentle cleanser for pimples.; Prefer warm, home-cooked meals (khichdi, dal, steamed vegetables) and avoid street/processed foods.","Bhringraj, Neem","Áyurveda Encyclopedia - Ch.14, p.448",Kapha,Skin,Acute,Diet; Lifestyle,Avoid incompatible food combinations,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),All,0.63,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.92
7868,Rheumatism,chronic low energy; poor digestion; sleep disturbances,"Gentle oil massage with sesame or mustard oil followed by warm fomentation.; Prefer warm, home-cooked meals (khichdi, dal, steamed vegetables) and avoid street/processed foods.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.",Aloe vera,"Áyurveda Encyclopedia - Ch.15, p.459",Vata,Musculoskeletal,Chronic,Diet; Meditation,Avoid alcohol and excess salt,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),All,0.91,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.94
7869,Convulsions (Apasmara),seizures; loss of consciousness; confusion; aura before seizure,Warm sesame oil head massage (Shiroabhyanga) gently before bath.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.,"Bibhitaki, Shatavari, Turmeric","Áyurveda Encyclopedia - Ch.20, p.506",Pitta-Kapha,Nervous,Chronic,Meditation,Avoid dairy temporarily,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),All,0.63,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.84
7870,Goiter-like,fever; fatigue; malaise; body aches,Turmeric milk (haldi doodh) at night; apply warm compress if needed.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,"Manjistha, Bibhitaki","Áyurveda Encyclopedia - Ch.16, p.365",Vata-Pitta,Oral/Teeth,Acute,Topical,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),All,0.98,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.81
7871,Obesity (Sthaulya),nausea; vomiting; sour belching; heartburn; acidity,"Cooked apples/banana and buttermilk (chaas) for soothing the stomach.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.",Sandalwood,"Áyurveda Encyclopedia - Ch.21, p.357",Pitta-Kapha,Digestive,Acute,Lifestyle; Pranayama,Avoid dairy temporarily,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,All,0.64,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.91
7872,Wounds,irregular periods; pelvic pain; infertility; discharge,"Gokshura decoction as urinary/reproductive supportive (use per guidance).; Prefer warm, home-cooked meals (khichdi, dal, steamed vegetables) and avoid street/processed foods.","Ashwagandha, Khadira, Turmeric","Áyurveda Encyclopedia - Ch.16, p.353",Pitta-Kapha,Reproductive,Chronic,Diet,Avoid strenuous exercise during acute phase,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,All,0.8,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.85
7873,Leukoderma (Svitra),white depigmented patches; gradual spread; occasional itching,Sandalwood paste with rose water for soothing inflamed skin.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.,Triphala,"Áyurveda Encyclopedia - Ch.15, p.514",Vata-Kapha,Skin,Chronic,Meditation,Avoid alcohol and excess salt,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),All,0.76,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.91
7874,Anemia,cold extremities; poor circulation; varicose veins,"Massage legs with warm sesame oil to improve circulation.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.","Bakuchi, Bhringraj, Aloe vera","Áyurveda Encyclopedia - Ch.25, p.358",Tridoshic,Circulatory,Acute,Topical; Yoga,Avoid suppression of natural urges,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),All,0.77,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.84
7875,Tonsillitis - variant 15,nasal congestion; loss of smell; epistaxis; sinusitis,"Hot milk with turmeric (for non-children) at bedtime; sip warm fluids.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.","Clove, Manjistha, Triphala","Áyurveda Encyclopedia - Ch.21, p.378",Vata-Kapha,ENT,Acute,Pranayama,Avoid incompatible food combinations,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),All,0.77,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.83
7876,Gout (Vatarakta),chronic low energy; poor digestion; sleep disturbances,Keep joint moving gently; avoid heavy lifting during acute pain.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,"Clove, Ginger, Coriander","Áyurveda Encyclopedia - Ch.21, p.505",Vata-Pitta,Musculoskeletal,Chronic,Aromatherapy,Avoid spicy/heavy foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),All,0.83,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.84
7877,Indigestion (Ajeerna),constipation; hard stools; abdominal distension; low appetite,Fresh ginger and lemon water before meals; avoid cold/raw foods.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,"Haritaki, Licorice (Yashtimadhu)","Áyurveda Encyclopedia - Ch.14, p.353",Vata,Digestive,Chronic,Topical,No oil massage during acute fever,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),Children,0.9,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.84
7878,Outer Healing,irregular periods; pelvic pain; infertility; discharge,Warm sitz baths with a little rock salt for postpartum care and mild infections.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,"Shatavari, Bhringraj","Áyurveda Encyclopedia - Ch.17, p.409",Vata-Pitta,Reproductive,Acute,Aromatherapy; Lifestyle,Avoid cold/raw foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),Pregnancy caution,0.76,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.87
7879,Skin Beauty Care,white depigmented patches; gradual spread; occasional itching,"Apply a paste of turmeric and water (or honey) for mild wounds/skin infections.; For Panchakarma procedures consult a qualified Ayurvedic practitioner; at home, gentle oil massage (abhyanga) and steam inhalation are safe supportive measures.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.","Khadira, Amalaki (Amla), Manjistha","Áyurveda Encyclopedia - Ch.23, p.388",Kapha,Skin,Acute,Panchakarma; Topical,Avoid cold/raw foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),All,0.89,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.9
7880,Edema (Shotha),increased thirst; excessive urination; sugar in urine,Cranberry-like local fruits (sour) and buttermilk are soothing; consult if blood present.,"Haridra, Pippali","Áyurveda Encyclopedia - Ch.16, p.433",Vata,Urinary,Chronic,Surgery (rare),Avoid spicy/heavy foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),All,0.8,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.84
7881,Bleeding (Raktapitta),cold extremities; poor circulation; varicose veins,Massage legs with warm sesame oil to improve circulation.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,Bakuchi,"Áyurveda Encyclopedia - Ch.22, p.430",Pitta,Circulatory,Chronic,Topical,Avoid strenuous exercise during acute phase,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),All,0.88,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.92
7882,Eye Disorders (Netra Roga),loss of appetite; bloating; belching; abdominal pain; altered bowel habits,Moong dal khichdi with ghee and cumin; rest digestive system for 24 hours.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,"Bakuchi, Cardamom, Neem","Áyurveda Encyclopedia - Ch.20, p.519",Pitta,Digestive,Acute,Lifestyle; Topical,Avoid alcohol and excess salt,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),All,0.63,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.81
7883,Asthma (Shwasa),cough; chest congestion; breathlessness; wheezing; throat irritation,"Warm ginger-tulsi-honey decoction thrice daily for cough.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.","Licorice (Yashtimadhu), Mustā","Áyurveda Encyclopedia - Ch.25, p.511",Pitta-Kapha,Respiratory,Chronic,Yoga,Avoid strenuous exercise during acute phase,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),All,0.63,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.95
7884,Migraines,seizures; loss of consciousness; confusion; aura before seizure,"Ashwagandha milk (if appropriate) as a tonic for chronic fatigue (use under guidance).; Prefer warm, home-cooked meals (khichdi, dal, steamed vegetables) and avoid street/processed foods.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.","Sandalwood, Cardamom","Áyurveda Encyclopedia - Ch.26, p.488",Kapha,Nervous,Acute,Aromatherapy; Diet,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),All,0.62,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.86
7885,Fibromyalgia-like pain,fever; fatigue; malaise; body aches,"Warm sesame oil massage (Abhyanga) for 10–15 minutes, followed by warm bath.","Licorice (Yashtimadhu), Pippali, Aloe vera","Áyurveda Encyclopedia - Ch.14, p.496",Kapha,Immune,Chronic,Surgery (rare),,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),Children,0.81,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.83
7886,Wasting (Kshaya),chronic low energy; poor digestion; sleep disturbances,"Keep joint moving gently; avoid heavy lifting during acute pain.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.","Cinnamon, Guduchi, Guduchi","Áyurveda Encyclopedia - Ch.25, p.400",Pitta,Musculoskeletal,Acute,Topical; Yoga,Avoid dairy temporarily,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),All,0.95,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.87
7887,Bronchitis,cough; chest congestion; breathlessness; wheezing; throat irritation,"Steam inhalation with eucalyptus/tulsi/ginger; take slow deep breaths.; For Panchakarma procedures consult a qualified Ayurvedic practitioner; at home, gentle oil massage (abhyanga) and steam inhalation are safe supportive measures.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.","Khadira, Bibhitaki","Áyurveda Encyclopedia - Ch.19, p.419",Pitta,Respiratory,Acute,Aromatherapy; Panchakarma,Avoid suppression of natural urges,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),All,0.71,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.88
7888,Hyperthyroidism-like,ear pain; decreased hearing; discharge from ear; tinnitus,Steam inhalation with eucalyptus/tulsi/ginger; take slow deep breaths.,"Sandalwood, Shatavari, Kutki","Áyurveda Encyclopedia - Ch.21, p.472",Vata-Pitta,ENT,Acute,Lifestyle,Avoid suppression of natural urges,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),All,0.66,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.91
7889,Food Allergies & Parasites,chronic low energy; poor digestion; sleep disturbances,"Steam inhalation with tulsi and ginger; inhale for 5–10 minutes.; Use jeera in home preparations (e.g., jeera tea or paste) as supportive remedy.; Prefer warm, home-cooked meals (khichdi, dal, steamed vegetables) and avoid street/processed foods.","Amalaki (Amla), Licorice (Yashtimadhu)","Áyurveda Encyclopedia - Ch.16, p.427",Vata-Pitta,General/Constitutional,Chronic,Diet; Herb,Avoid spicy/heavy foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),All,0.95,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.91
